name,role,batting,bowling,keeping,basePrice,imageUrl
Suryakumar Yadav,batter,94,5,0,20000000,/player-images/SuryakumarYadav.png
Shubman Gill,batter,92,5,0,20000000,/player-images/ShubmanGill.png
Yashasvi Jaiswal,batter,90,5,0,20000000,/player-images/YashasviJaiswal.png
Virat Kohli,batter,94,10,0,20000000,/player-images/ViratKohli.png
Rohit Sharma,batter,89,10,0,20000000,/player-images/RohitSharma.png
Ruturaj Gaikwad,batter,88,5,0,10000000,/player-images/RuturajGaikwad.png
Shreyas Iyer,batter,87,5,0,10000000,/player-images/ShreyasIyer.png
Rinku Singh,batter,86,5,0,10000000,/player-images/RinkuSingh.png
Tilak Varma,batter,88,5,0,5000000,/player-images/TilakVarma.png
Rajat Patidar,batter,83,5,0,5000000,/player-images/RajatPatidar.png
Devdutt Padikkal,batter,82,5,0,5000000,/player-images/DevduttPadikkal.png
Rahul Tripathi,batter,82,5,0,5000000,/player-images/RahulTripathi.png
Nitish Rana,batter,82,15,0,2000000,/player-images/NitishRana.png
Mayank Agarwal,batter,80,5,0,2000000,/player-images/MayankAgarwal.png
Abdul Samad,batter,79,5,0,2000000,/player-images/AbdulSamad.png
Manish Pandey,batter,78,5,0,2000000,/player-images/ManishPandey.png
Prithvi Shaw,batter,78,5,0,2000000,/player-images/PrithviShaw.png
Shubham Dubey,batter,75,5,0,2000000,/player-images/ShubhamDubey.png
Travis Head,batter,91,10,0,20000000,/player-images/TravisHead.png
David Warner,batter,88,5,0,10000000,/player-images/DavidWarner.png
Harry Brook,batter,88,5,0,10000000,/player-images/HarryBrook.png
David Miller,batter,86,5,0,10000000,/player-images/DavidMiller.png
Kane Williamson,batter,86,5,0,10000000,/player-images/KaneWilliamson.png
Aiden Markram,batter,85,5,0,10000000,/player-images/AidenMarkram.png
Shimron Hetmyer,batter,84,5,0,5000000,/player-images/ShimronHetmyer.png
Pathum Nissanka,batter,82,5,0,5000000,/player-images/PathumNissanka.png
Tim David,batter,82,5,0,5000000,/player-images/TimDavid.png
Jasprit Bumrah,bowler,10,92,0,20000000,/player-images/JaspritBumrah.png
Mohammed Shami,bowler,5,89,0,20000000,/player-images/MohammedShami.png
Kuldeep Yadav,bowler,15,88,0,20000000,/player-images/KuldeepYadav.png
Yuzvendra Chahal,bowler,10,86,0,20000000,/player-images/YuzvendraChahal.png
Prasidh Krishna,bowler,0,84,0,10000000,/player-images/PrasidhKrishna.png
Arshdeep Singh,bowler,5,84,0,10000000,/player-images/ArshdeepSingh.png
T Natarajan,bowler,5,84,0,10000000,/player-images/TNatarajan.png
Avesh Khan,bowler,5,83,0,10000000,/player-images/AveshKhan.png
Umran Malik,bowler,5,83,0,10000000,/player-images/UmranMalik.png
Bhuvneshwar Kumar,bowler,15,83,0,10000000,/player-images/BhuvneshwarKumar.png
Mohit Sharma,bowler,10,82,0,10000000,/player-images/MohitSharma.png
Kartik Tyagi,bowler,0,82,0,10000000,/player-images/KartikTyagi.png
Harshal Patel,bowler,15,82,0,10000000,/player-images/HarshalPatel.png
R Sai Kishore,bowler,5,81,0,10000000,/player-images/RSaiKishore.png
Suyash Sharma,bowler,0,81,0,10000000,/player-images/SuyashSharma.png
Harshit Rana,bowler,0,81,0,5000000,/player-images/HarshitRana.png
Deepak Chahar,bowler,20,81,0,5000000,/player-images/DeepakChahar.png
Yash Dayal,bowler,0,80,0,5000000,/player-images/YashDayal.png
Sandeep Sharma,bowler,5,80,0,5000000,/player-images/SandeepSharma.png
Navdeep Saini,bowler,0,80,0,5000000,/player-images/NavdeepSaini.png
Chetan Sakariya,bowler,0,79,0,5000000,/player-images/ChetanSakariya.png
Umesh Yadav,bowler,5,79,0,5000000,/player-images/UmeshYadav.png
Mukesh Kumar,bowler,0,78,0,5000000,/player-images/MukeshKumar.png
Akash Deep,bowler,0,78,0,5000000,/player-images/AkashDeep.png
Kagiso Rabada,bowler,10,90,0,20000000,/player-images/KagisoRabada.png
Trent Boult,bowler,5,88,0,20000000,/player-images/TrentBoult.png
Josh Hazlewood,bowler,0,88,0,20000000,/player-images/JoshHazlewood.png
Jofra Archer,bowler,15,88,0,20000000,/player-images/JofraArcher.png
